game_seed,deck_in_seat_0,winner_seat,final_turn,points_seat0,points_seat1
72000380,altaria,1,9,0,3
72000380,blaziken,1,3,0,1
72000381,altaria,0,12,5,1
72000381,blaziken,0,12,5,1
72000382,altaria,1,10,1,4
72000382,blaziken,1,12,1,5
72000383,altaria,0,10,4,1
72000383,blaziken,1,9,1,3
72000384,altaria,1,7,0,3
72000384,blaziken,1,8,1,3
72000385,altaria,0,9,3,2
72000385,blaziken,0,8,4,0
72000386,altaria,0,9,3,1
72000386,blaziken,1,8,0,4
72000387,altaria,0,11,3,2
72000387,blaziken,1,10,1,5
72000388,altaria,1,8,2,3
72000388,blaziken,1,11,1,3
72000389,altaria,1,11,0,3
72000389,blaziken,1,15,1,5
72000390,altaria,0,16,5,2
72000390,blaziken,1,3,0,1
72000391,altaria,1,9,1,3
72000391,blaziken,0,8,3,0
72000392,altaria,0,9,2,0
72000392,blaziken,1,10,1,4
72000393,altaria,1,12,0,3
72000393,blaziken,0,9,3,1
72000394,altaria,0,12,3,2
72000394,blaziken,1,9,2,3
72000395,altaria,0,5,2,0
72000395,blaziken,0,10,3,1
72000396,altaria,0,11,5,2
72000396,blaziken,1,8,0,2
72000397,altaria,0,11,4,1
72000397,blaziken,1,12,0,3
72000398,altaria,1,10,1,5
72000398,blaziken,0,11,3,1
72000399,altaria,1,11,0,3
72000399,blaziken,1,9,0,3
72000400,altaria,1,9,1,3
72000400,blaziken,1,11,1,3
72000401,altaria,0,5,1,1
72000401,blaziken,1,10,2,2
72000402,altaria,0,4,1,0
72000402,blaziken,0,9,3,1
72000403,altaria,0,5,2,1
72000403,blaziken,1,10,0,4
72000404,altaria,1,9,1,3
72000404,blaziken,0,11,5,1
72000405,altaria,1,7,1,3
72000405,blaziken,0,10,3,1
72000406,altaria,0,14,4,2
72000406,blaziken,1,11,0,3
72000407,altaria,0,13,3,2
72000407,blaziken,1,9,2,4
72000408,altaria,0,2,1,0
72000408,blaziken,0,11,3,2
72000409,altaria,0,12,3,2
72000409,blaziken,0,7,3,0
72000410,altaria,0,11,5,2
72000410,blaziken,1,7,0,3
72000411,altaria,1,13,2,4
72000411,blaziken,1,8,1,2
72000412,altaria,0,6,3,0
72000412,blaziken,1,7,1,3
72000413,altaria,0,9,3,2
72000413,blaziken,0,9,3,1
72000414,altaria,0,11,3,1
